id,code,place_name_id,county_id
1,8128,1,6
2,8127,1,6
3,5241,2,10
4,7678,3,2
5,3261,4,9
6,3882,5,4
7,3882,6,4
8,3815,7,4
9,3881,8,4
10,3809,9,4
11,3898,10,4
12,9151,11,7
13,3753,12,4
14,2740,13,13
15,8256,14,18
16,2941,15,11
17,2683,16,13
18,9746,17,17
19,9168,18,7
20,2887,19,11
21,3292,20,9
22,8653,21,14
23,8561,22,18
24,2457,23,6
25,8497,24,18
26,7841,25,2
27,7381,26,2
28,6076,27,1
29,9423,28,7
30,3759,29,4
31,9441,30,7
32,4524,31,15
33,8447,32,18
34,8448,32,18
35,8451,32,18
36,8400,32,18
37,2862,33,11
38,6221,34,1
39,3779,35,4
40,7011,36,6
41,5142,37,10
42,2730,38,13
43,8087,39,6
44,3353,40,9
45,6750,41,5
46,8921,42,19
47,7934,43,2
48,2931,44,11
49,8935,45,19
50,5747,46,3
51,7932,47,2
52,4285,48,8
53,3985,49,4
54,7443,50,14
55,3717,51,4
56,3837,52,4
57,7345,53,2
58,7147,54,16
59,2351,55,13
60,8924,56,19
61,7148,57,16
62,8226,58,18
63,8394,59,19
64,2617,60,12
65,8767,61,19
66,3989,62,4
67,8973,63,19
68,7012,64,6
69,7826,65,2
70,9983,66,17
71,3726,67,4
72,3735,68,4
73,3069,69,12
74,9842,70,17
75,3811,71,4
76,3571,72,4
77,6916,73,5
78,4546,74,15
79,8675,75,14
80,3399,76,9
81,9811,77,17
82,2529,78,11
83,8477,79,18
84,4553,80,15
85,2345,81,13
86,7186,82,16
87,6931,83,5
88,9982,84,17
89,7720,85,2
90,3032,86,9
91,2338,87,13
92,6088,88,1
93,4634,89,15
94,7671,90,2
95,3885,91,4
96,3663,92,4
97,3713,93,4
98,3467,94,4
99,6623,95,5
100,9132,96,7
101,4115,97,8
102,6783,98,5
103,9177,99,7
104,3841,100,4
105,2170,101,13
106,8241,102,18
107,7763,103,2
108,3371,104,9
109,3213,105,9
110,7252,106,16
111,7757,107,2
112,7814,108,2
113,7584,109,14
114,2943,110,11
115,8658,111,14
116,8983,112,19
117,9351,113,7
118,6430,114,1
119,6453,115,1
120,6454,116,1
121,6511,117,1
122,6425,118,1
123,8261,119,18
124,8257,119,18
125,8258,119,18
126,8262,120,18
127,8263,120,18
128,2191,121,13
129,4286,122,8
130,8977,123,19
131,8992,124,19
132,9145,125,7
133,2836,126,11
134,6503,127,1
135,6500,127,1
136,9944,128,17
137,2525,129,11
138,2533,130,11
139,8945,131,19
140,7585,132,14
141,7393,133,2
142,4164,134,8
143,7675,135,2
144,2885,136,11
145,8427,137,18
146,8056,138,6
147,8433,139,18
148,8581,140,18
149,8571,141,18
150,8045,142,6
151,8422,143,18
152,8418,144,18
153,9088,145,7
154,8457,146,18
155,8557,147,18
156,2861,148,11
157,8557,149,18
158,8430,150,18
159,8431,151,18
160,2884,152,11
161,8572,153,18
162,8555,154,18
163,6768,155,5
164,7834,156,2
165,3836,157,4
166,4561,158,15
167,8946,159,19
168,3780,160,4
169,2660,161,12
170,6764,162,5
171,3347,163,9
172,8243,164,18
173,8220,165,18
174,8649,166,14
175,8691,167,14
176,8630,167,14
177,8272,168,18
178,8312,169,18
179,8613,170,14
180,8646,171,14
181,8164,172,18
182,8623,173,14
183,8236,174,18
184,8230,174,18
185,8184,175,18
186,8175,175,18
187,8313,176,19
188,8275,177,18
189,8172,178,18
190,8174,178,18
191,8648,179,14
192,8638,180,14
193,8753,181,19
194,8647,182,14
195,8637,183,14
196,8255,184,18
197,8651,185,14
198,8624,186,14
199,8636,187,14
200,8710,188,14
201,8252,189,18
202,8233,190,18
203,8242,191,18
204,8712,192,14
205,8171,193,18
206,8054,194,6
207,8055,194,6
208,4233,195,15
209,6035,196,1
210,4060,197,8
211,9771,198,17
212,6412,199,1
213,4468,200,15
214,8614,201,14
215,2944,202,11
216,8443,203,18
217,7914,204,2
218,3642,205,4
219,2653,206,12
220,8891,207,19
221,3654,208,4
222,7711,209,2
223,4937,210,15
224,2427,211,6
225,2426,211,6
226,2471,212,6
227,4161,213,8
228,7841,214,2
229,7384,215,2
230,7383,216,2
231,9169,217,7
232,7557,218,14
233,7570,218,14
234,7478,219,14
235,8948,220,19
236,3126,221,12
237,8291,222,18
238,2883,223,11
239,7923,224,2
240,3881,225,4
241,7149,226,16
242,7164,227,16
243,7140,228,16
244,7258,229,14
245,6528,230,1
246,3078,231,12
247,3070,231,12
248,3151,231,12
249,3336,232,9
250,4343,233,15
251,5830,234,3
252,6351,235,1
253,8797,236,19
254,8887,237,19
255,8352,238,18
256,8565,239,18
257,8866,240,19
258,2693,241,12
259,3768,242,4
260,8985,243,19
261,8666,244,14
262,4128,245,8
263,9683,246,17
264,8515,247,18
265,3903,248,4
266,5630,249,3
267,5623,250,3
268,5671,250,3
269,5600,250,3
270,5946,251,3
271,5561,252,3
272,3343,253,9
273,3346,254,9
274,7589,255,14
275,7061,256,16
276,9343,257,7
277,7543,258,14
278,8855,259,19
279,5643,260,3
280,2455,261,6
281,8978,262,19
282,7747,263,2
283,4643,264,15
284,2216,265,13
285,3045,266,12
286,9831,267,17
287,2687,268,12
288,4934,269,15
289,4933,270,15
290,4116,271,8
291,5309,272,10
292,7827,273,2
293,3704,274,4
294,3834,275,4
295,4103,276,8
296,4100,276,8
297,8182,277,18
298,8181,277,18
299,2641,278,12
300,7664,279,2
301,4521,280,15
302,2639,281,13
303,3575,282,4
304,7516,283,14
305,7838,284,2
306,4557,285,15
307,3373,286,9
308,5071,287,10
309,2456,288,6
310,4488,289,15
311,7782,290,2
312,9223,291,7
313,8934,292,19
314,9162,293,7
315,2051,294,13
316,7671,295,2
317,2060,296,6
318,4175,297,8
319,4110,298,8
320,4172,299,8
321,4174,300,8
322,5538,301,3
323,7043,302,16
324,7346,303,2
325,4235,304,15
326,7747,305,2
327,7811,306,2
328,9625,307,17
329,9542,308,19
330,8943,309,9
331,3368,310,1
332,3574,311,19
333,6235,312,8
334,8776,313,2
335,4241,314,6
336,7672,315,6
337,8053,316,2
338,8991,317,7
339,8969,318,9
340,8085,319,18
341,7394,320,14
342,9134,321,4
343,3243,322,4
344,8471,323,4
345,7439,324,4
346,3987,325,4
347,3916,326,4
348,3917,327,4
349,3943,328,4
350,3768,329,2
351,3764,330,2
352,3763,331,2
353,3412,332,16
354,7742,333,7
355,7836,334,8
356,7966,335,19
357,9612,336,11
358,9675,337,12
359,7132,338,9
360,9324,339,2
361,8719,340,4
362,4114,341,4
363,8741,342,4
364,2855,343,14
365,4231,344,14
366,3066,345,2
367,7025,346,19
368,3016,347,14
369,7937,348,16
370,3884,349,16
371,3885,350,16
372,3794,351,5
373,7517,352,17
374,7586,353,2
375,7754,354,1
376,8992,355,19
377,7281,356,4
378,9073,357,4
379,7187,358,4
380,7150,358,4
381,7158,359,4
382,9152,360,4
383,6795,361,4
384,9554,362,12
385,7756,363,18
386,6445,364,18
387,8885,365,2
388,3658,366,15
389,3426,367,2
